2093,Park Guell,3
2093,Camp Nou,4
2093,Basilica of the Sagrada Familia,5
23stationroad,Casa Batllo,5
2teeth,Park Guell,3
2teeth,Casa Batllo,5
2teeth,Basilica of the Sagrada Familia,5
AcerLeeds,Rossini,1
AdiPanait,Casa Batllo,5
Alfanumeric,Rossini,3
BabsLimerick_Ireland,Camp Nou,5
BabsLimerick_Ireland,Magic Fountain (Font Magica),4
BabsLimerick_Ireland,Basilica of the Sagrada Familia,5
Backfixer,Basilica of the Sagrada Familia,5
Baidoo,Casa Batllo,5
Beeffinder,Piscolabis,4
BigRuss1213,Magic Fountain (Font Magica),4
Bongo_Craigy,Casa Batllo,3
Bongo_Craigy,Park Guell,4
Bongo_Craigy,Basilica of the Sagrada Familia,5
CathP,Basilica of the Sagrada Familia,5
CathP,Casa Batllo,4
Catty140,Park Guell,5
Catty140,Basilica of the Sagrada Familia,4
Celeste598,Piscolabis,5
CherrySlurpees,Magic Fountain (Font Magica),3
FLLtourist,Basilica of the Sagrada Familia,5
FLLtourist,Casa Batllo,5
